15/07/2025 16:57:47 |  28644 | INFO     | main                           | {'condominio': 1331, 'unidade': 'AP 0108', 'id_unidade': '19840', 'fl_status_recb': '0', 'fl_remessastatus_recb': '2', 'dt_geracao_recb': '06/03/2025 14:55:20', 'id_recebimento_recb': '117843', 'st_documento_recb': '000/06856206', 'dt_vencimento_recb': '07/10/2025 00:00:00', 'vl_total_recb': '937.15', 'st_label_recb': 'INADIMPLENTE'}
15/07/2025 17:11:59 |  28644 | INFO     | main                           | {'condominio': 847, 'unidade': 'AP 0202', 'id_unidade': '24999', 'fl_status_recb': '0', 'fl_remessastatus_recb': '2', 'dt_geracao_recb': '07/03/2025 12:56:02', 'id_recebimento_recb': '186904', 'st_documento_recb': '000/06692154', 'dt_vencimento_recb': '07/07/2025 00:00:00', 'vl_total_recb': '550.00', 'st_label_recb': 'INADIMPLENTE'}
15/07/2025 17:24:20 |  28644 | INFO     | main                           | {'condominio': 897, 'unidade': 'AP 1205', 'id_unidade': '25260', 'fl_status_recb': '0', 'fl_remessastatus_recb': '2', 'dt_geracao_recb': '07/03/2025 13:06:55', 'id_recebimento_recb': '187948', 'st_documento_recb': '000/06323771', 'dt_vencimento_recb': '07/10/2025 00:00:00', 'vl_total_recb': '1193.14', 'st_label_recb': 'INADIMPLENTE'}
15/07/2025 17:26:00 |  28644 | INFO     | main                           | {'condominio': 414, 'unidade': 'UN 0104', 'id_unidade': '22514', 'fl_status_recb': '0', 'fl_remessastatus_recb': '2', 'dt_geracao_recb': '07/03/2025 02:31:36', 'id_recebimento_recb': '161137', 'st_documento_recb': '000/06641128', 'dt_vencimento_recb': '07/15/2025 00:00:00', 'vl_total_recb': '304.92', 'st_label_recb': 'INADIMPLENTE'}
15/07/2025 17:31:21 |  28644 | INFO     | main                           | Enviando e-mail com resultados
15/07/2025 17:31:25 |  28644 | INFO     | main                           | Enviando e-mail com resultados
15/07/2025 17:44:23 |  21444 | INFO     | get_all_condominios            | Iniciando busca de todos os condomínios
15/07/2025 17:44:23 |  21444 | INFO     | get_all_condominios            | Página 1 processada. 50 condomínios encontrados.
15/07/2025 17:44:24 |  21444 | INFO     | get_all_condominios            | Página 2 processada. 50 condomínios encontrados.
15/07/2025 17:44:24 |  21444 | INFO     | get_all_condominios            | Página 3 processada. 50 condomínios encontrados.
15/07/2025 17:44:25 |  21444 | INFO     | get_all_condominios            | Página 4 processada. 50 condomínios encontrados.
15/07/2025 17:44:25 |  21444 | INFO     | get_all_condominios            | Página 5 processada. 50 condomínios encontrados.
15/07/2025 17:44:26 |  21444 | INFO     | get_all_condominios            | Página 6 processada. 50 condomínios encontrados.
15/07/2025 17:44:26 |  21444 | INFO     | get_all_condominios            | Página 7 processada. 50 condomínios encontrados.
15/07/2025 17:44:27 |  21444 | INFO     | get_all_condominios            | Página 8 processada. 50 condomínios encontrados.
15/07/2025 17:44:28 |  21444 | INFO     | get_all_condominios            | Página 9 processada. 50 condomínios encontrados.
15/07/2025 17:44:28 |  21444 | INFO     | get_all_condominios            | Página 10 processada. 50 condomínios encontrados.
15/07/2025 17:44:28 |  21444 | INFO     | get_all_condominios            | Página 11 processada. 50 condomínios encontrados.
15/07/2025 17:44:29 |  21444 | INFO     | get_all_condominios            | Página 12 processada. 50 condomínios encontrados.
